course_id,course_text,label,KA_label
CS103,"Sets
Functions and Relations
Proof techniques (including direct, contradiction, diagonalization and induction) Graphs
Logic (proposition and predicate) Finite Automata (DFAs, NFAs, PDAs) Regular and Context-Free Languages Turing Machines
Complexity Classes (P, NP, Exp) NP-Completeness
Counting
Combinations and Permutations
Probability (including conditional probability, independence, and conditional independence) Expectation and Variance
Covariance and Correlation
Discrete distributions (including Binomial, Negative Binomial, Poisson, and Hypergeometric) Continuous distributions (including Uniform, Normal, Exponential, and Beta) Limit/Concentration results (including Central Limit Theorem, Markov/Chebyshev bounds) Parameter estimation (including maximum likelihood and Bayesian estimation)
Classification (including Naive Bayes Classifier and Logistic Regression) Simulation
","DS--Proof Techniques
DS--Basic Logic
DS--Discrete Probability
AL--Basic Automata, Computability and Complexity
DS--Basics of Counting
DS--Sets, Relations, Functions
DS--Graphs and Trees
IS--Basic Machine Learning
","DS
AL
IS"
CS 250,"Introduction to the Peano Axioms and construction of the natural numbers, integer numbers, rational numbers, and real numbers.
Construction and basic properties of monoids, groups, rings, fields, and vector spaces.  Introduction to transfinite ordinals and transfinite cardinals, and Cantor’s diagonalization methods Representation of large finite natural numbers using Knuth’s “arrow notation”
Introduction to first order propositional logic, logical equivalence, valid and invalid arguments Introduction to digital circuits
Introduction to first order monadic predicate logic, universal and existential quantification, and predicate arguments
Elementary number theory, prime factors, Euclid’s algorithm Finite arithmetic, Galois Fields, and RSA encryption
Proof techniques, including direct and indirect proofs, proving universal statements, proving existential statements, proof forms, common errors in proofs
Sequences, definite and indefinite series, recursive sequences and series Developing and validating closed-form solutions for series
Well ordering and mathematical induction Introduction to proving algorithm correctness
Second order linear homogeneous recurrence relations with constant coefficients General recursive definitions and structural induction
Introduction to classical (Cantor) set theory, Russell’s Paradox, introduction to axiomatic set theory (Zermelo-Fraenkel with Axiom of Choice).
Set-theoretic proofs Boolean algebras Halting Problem
","AL--Basic Analysis
DS--Basic Logic
DS--Proof Techniques
DS--Basics of Counting
DS--Sets, Relations, Functions
","DS
AL
IS"
CS 251,"Set-based theory of functions, Boolean functions Injection, surjection, bijection
Function composition
Function cardinality and computability General set relations
Equivalence relations Total and partial orderings
Basic counting techniques: multiplication rule, addition rule, Dirichlet’s Box Principle Combinations and permutations
Pascal’s Formula and the Binomial Theorem Kolmogorov Axioms and expected value Markov processes
Conditional probability and Bayes’ Theorem Classical graph theory: Euler and Hamilton circuits Introduction to spectral graph theory, isomorphisms Trees, weighted graphs, spanning trees
Algorithm analysis Formal languages Regular expressions Finite-state automata
","AL--Basic Analysis
DS--Sets, Relations, and Functions
DS--Basics of Counting
DS--Graphs and Trees
DS--Discrete Probability
AL--Basic Automata Computability and Complexity
","AL
DS"
CS 175,"Shader-based OpenGL programming Coordinate systems and transformations Quaternions and the Arcball interface Camera modeling and projection
OpenGL fixed functionality including rasterization Material simulation
Basic and advanced use of textures including shadow mapping Image sampling including alpha matting
Image resampling including mip-maps Human color perception
Geometric representations Physical simulation in animation Ray tracing
","GV--Fundamental Concepts
GV--Basic Rendering
GV--Geometric Modeling
SDF--Development Methods
AR--Performance enhancements
CN--Modeling and Simulation
SE--Tools and Environments
SE--Software Design
","GV
SDF
AR
CN
SE"
CS371,"Computer graphics and its place in computer science Surface modeling
Light modeling
The Rendering Equation Ray casting
Surface scattering (BSDFs) Spatial data structures Photon  mapping Refraction
Texture Mapping Transformations Rasterization
The graphics pipeline GPU architecture
Film production and effects Deferred shading
Collision detection Shadow maps
","GV--Fundamental Concepts
GV--Basic Rendering
GV--Geometric Modeling
SDF--Development Methods
AR--Performance enhancements
CN--Modeling and Simulation
SE--Tools and Environments
SE--Software Design
","GV
SDF
AR
CN
SE"
Human Aspects of Computer Science,"Experimental design and data representation
Inferential statistics Writing up experiments User-Centered Design
Developing requirements through personas and scenarios Conceptual design, interface design
Prototyping: lo-fi and paper Visual Design
Evaluation techniques: heuristics, cognitive walkthrough, experiments
Human-Computer Interaction","HCI--Foundations
HCI--Designing Interaction
HCI--Programming Interactive Systems
HCI--User-Centered Design and Testing
HCI--Statistical methods for HCI
",HCI
FIT3063,"This unit provides a detailed understanding of the underpinning theories, principles and practices of interface design for computer-based systems. It examines issues in the design of system interfaces from a number of perspectives: user, programmer, designer. It explores the application of the relevant theories in practice. The unit will cover topics such as methods and tools for developing effective user interfaces, evaluation methods such as the conduct of usability and heuristic evaluations, design of appropriate interface elements including the design of menus and other interaction styles. The unit also focuses on designing for a diverse range of users and environments.
Background and motivation for HCI Human factors
Theoretical foundations: theories, models, principles, standards, guidelines Interface design elements
Interface design: methods and principles Interface design: data gathering and task analysis Interaction styles
Usability Accessibility Interaction devices Future of HCI
","HCI--Foundations
HCI--Designing Interaction
HCI--User-Centered Design & Testing
HCI--New Interactive Technologies
HCI--Mixed, Augmented and Virtual Reality
",HCI
CO328,"This module provides an introduction to human-computer interaction. Fundamental aspects of human physiology  and psychology are introduced and key features of interaction and common interaction styles delineated. A variety   of analysis and design methods are introduced (e.g., GOMS, heuristic evaluation, user-centred and contextual design techniques). Throughout the course, the quality of design and the need for a professional, integrated and user- centered approach to interface development is emphasized. Rapid and low-fidelity prototyping feature as one aspect of this.
Evaluating interfaces: heuristic evaluation, GOMS Evaluation Data & Empirical Data
Lo-fi Prototyping
Color, Vision & Perception
Some Features of Human Memory Errors
Controls, widgets, icons & symbols Elements of visual design Documentation
","HCI--Foundations
HCI--Designing Interaction
HCI--User-Centered Design and Testing
",HCI
Human Computer Interaction,"The goal is to present HCI as a discipline that is concerned with technical advance, and that must integrate different disciplinary perspectives. Fundamental theoretical issues deal with principles of human perception, visual representation and purposeful action, discussed in the context of novel interactive technologies. Building on a first year course in professional software design, the course ends with an overview of systematic approaches to the design and analysis of user interfaces.
propose design approaches that are suitable to different classes of user and application; identify appropriate techniques for analysis and critique of user interfaces;
be able to design and undertake quantitative and qualitative studies in order to improve the design of interactive systems;
understand the history and purpose of the features of contemporary user interfaces.
The scope and challenges of HCI and Interaction Design. Visual representation
Text and gesture interaction Inference-based approaches
Augmented reality and tangible user interfaces Usability of programming languages
User-centered design research Usability evaluation methods
","HCI--Foundations
HCI--Designing Interactions
HCI--User-Centered Design and Testing
HCI--New Interactive Technologies
HCI--Design-Oriented HCI
",HCI
Human-Computer Interaction,"Short-form description: Helping you build human-centered design skills, so that you have the principles and methods to create excellent interfaces with any technology.
Long-form description: In this course, you will learn how to design technologies that bring people joy, rather than frustration. You'll learn several techniques for rapidly prototyping and evaluating multiple interface alternatives -- and why rapid prototyping and comparative evaluation are essential to excellent interaction design. You'll learn how to conduct fieldwork with people to help you get design ideas. How to make paper prototypes and low-fidelity mockups that are interactive -- and how to use these designs to get feedback from other stakeholders like your teammates, clients, and users. You'll learn principles of visual design so that you can effectively organize and  present information with your interfaces. You'll learn principles of perception and cognition that inform effective interaction design. And you'll learn how to perform and analyze controlled experiments online. In many cases, we'll use Web design as the anchoring domain. A lot of the examples will come from the Web, and we'll talk just a bit about Web technologies in particular. When we do so, it will be to support the main goal of this course, which is helping you build human-centered design skills, so that you have the principles and methods to create excellent interfaces with any technology.
","HCI--Foundations
HCI--Designing Interaction
HCI--User-centered design & testing
HCI--Statistical Methods for HCI
",HCI
Human Information Processing (HIP),"Senses: Short term sensory memory – receptors – stimuli; Perception;
Attention;
Memory: Long-term memory – working memory; Mental models;
Intention: Decision making and response selection;
Action: Response execution (motion or behavior) – responses","CN--Interactive Visualization
GV--Fundamental Concepts
HCI--Foundations
","CN
GV
HCI"
Software and Interface Design,"This course introduces principles and methods for the design of software systems in professional contexts. The whole of the software development lifecycle is considered, but with special emphasis on user-centered design, including approaches to capture and analysis of user requirements, iterative prototyping and testing of interactive systems.
The goal is to present HCI as a discipline that is concerned with technical advance, and that must integrate different disciplinary perspectives. Fundamental theoretical issues deal with principles of human perception, visual representation and purposeful action, discussed in the context of novel interactive technologies. Building on a first year course in professional software design, the course ends with an overview of systematic approaches to the design and analysis of user interfaces.
undertake system design in a methodical manner
proceed from a general system or product requirement to a design that addresses user needs develop design models and prototypes in an iterative manner recognizing managerial risks evaluate interactive systems, including identification and correction of faults.
Mental models, leading to gulfs of execution and evaluation. Observing and describing the needs of users in context Methods for iterative modelling and prototyping
Observational and experimental methods for usability evaluation
","HCI--Foundations
HCI--Designing Interactions
HCI--User-Centered Design and Testing
",HCI
CS-475,"This course covers the fundamental concepts and practical applications of computing systems security with a holistic view and an applied approach. Topics include: security concepts and services, physical, operational, and organizational security, the role of people in systems security, introduction to cryptography and public key infrastructure, computing systems hardening, secure code, and secure applications development.
The course emphasis is on developing, deploying, and maintaining a secure computing infrastructure with a hands- on approach.","AR--Machine-level representation of data
HCI--Human Factors and Security
IAS--Foundational Concepts in Security
IAS--Principles of Secure Design
IAS--Defensive Programming
IAS--Threats and Attacks
IAS--Network Security
IAS--Cryptography
IAS--Web Security
IAS--Security Policy and Governance
NC--Introduction
NC--Networked Applications
NC--Local Area Networks
OS--Security and Protection
PL--Language Translation and Execution
SP--Security Policies, Laws, and Computer Crimes
","AR
HCI
IAS
NC
OS
PL
SP"
CS430,"Introduction to DBMS concepts 
Data modeling and database design 
Relational database design
Query languages 
Storage and indexing 
Query processing 
Transaction processing 
Recovery","IM--Information Management Concepts
IM--Database Systems
IM--Data Modeling
IM--Relational Databases
IM--Query Languages
IM--Indexing
IM--Physical Database Design
IM--Transaction Processing
IAS--Foundational Concepts
IAS--Security Policy and Governance
","IM
IAS"
CSE 262,"Formulate and defend a position on an ethical question related to technology.
Describe the main ethical challenges currently posed by technology.
Describe the results of group discussion on ethical issues as a consensus position or mutually acceptable differences of opinion.
Analyze a proposed course of action in the context of various cultures, communities, and countries.
Demonstrate effective oral and written communication methods to explain a position on the social responsibilities of software developers and IT workers.
Moral theories and reasoning. Includes applying utilitarianism, deontological ethics, and virtue ethics. Discussion of relativism and religious ethics. 
Professional ethics. Includes definitions of “profession,” codes of ethics, and ACM-IEEE Software Engineering Code of Ethics and Professional Practice. 
Privacy. Definitions of privacy, the role of computing in contemporary privacy dilemmas. 
Intellectual and intangible property. Definitions of copyright, trademark, and patent, especially as they apply to computer applications and products. Fair use and other limitations to the rights of creators. Intangible property that is not “creative” in nature. 
Trust, safety, and reliability. Causes of computer failure, case studies (including Therac-25). 
Review and exams. 
Public presentations of independent research projects.
Effects of computing on society and personal identity. Social network analysis, Marshall McLuhan, bullying and trolling, crowd-sourced knowledge, cybernetics. 
Democracy, freedom of speech, and computing. The First Amendment, protection of children, state censorship, corporate censorship, case studies.
Computing and vulnerable groups. Case studies of effects of computing on prisoners, the elderly, the young, racial and ethnic minorities, religious minorities, people with disabilities, people with chronic diseases, developing countries, and so on. 
Autonomous and pervasive technologies. Cases related to data surveillance, moral responsibility for autonomous systems, robots, and systems that function with little human oversight.","SP--Social Context
SP--Analytical Tools
SP--Professional Ethics
SP--Intellectual Property
SP--Privacy and Civil Liberties
SP--Professional Communication
SP--Sustainability
SP--Economies of Computing
SP--Security Policies, Laws and Computer Crimes
HCI--Human Factors and Security
HCI--Collaboration and Communication
GV--Fundamental Concepts
","SP
HCI
GV"
CS 662,"An overview of AI, including search, knowledge representation, probabilistic reasoning and decision making under uncertainty, machine learning, and topics from NLP, information retrieval, knowledge engineering and multi-agent systems.","IS--Basic Search Strategies
IS--Basic Knowledge Rep.
IS--Basic Machine Learning
IS--Adv. KR
IS--Advanced Search
IS--Reasoning Under Uncertainty
IS--NLP
",IS
Intelligenza Artificiale (Artificial Intelligence),"INTRODUCTION TO AI. Historical outline of the discipline. Fundamental concepts. Main research areas and application fields.
PROBLEM SOLVING AND SEARCH. State spaces and search methods. Non-informed and informed search strategies. Constraint satisfaction problems. Games and adversarial search.
LOGIC AND REASONING. The use of propositional and first order logic for the representation of knowledge. Knowledge-based reasoning as logical deduction. Inference procedures (forward chaining, backward chaining, resolution).
PLANNING. Plan formation and execution. The STRIPS model. Search in plan spaces. FOUNDATIONS OF AI. Some critical concepts and philosophical problems of AI.","IS--Fundamental Issues
IS--Basic Search Strategies
IS--Basic Knowledge Representation and Reasoning
IS--Advanced Search
IS--Advanced Representation and Reasoning
",IS
CMSC 471,"Course description: “This course will serve as an introduction to artificial intelligence concepts and techniques. We will use the Lisp programming language as a computational vehicle for exploring the techniques and their application. Specific topics we will cover include the history and philosophy of AI, Lisp and functional programming, the agent paradigm in AI systems, search, game playing, knowledge representation and reasoning, logical reasoning, uncertain reasoning and Bayes nets, planning, and machine learning. If time permits, we may also briefly touch on multi-agent systems, robotics, perception, and/or natural language processing.”","IS--Fundamental Issues
IS--Basic Search Strategies
IS--Basic Knowledge Representation and Reasoning
IS--Basic Machine Learning
IS--Advanced Search
IS--Advanced Representation and Reasoning
IS--Reasoning Under Uncertainty
IS--Agents
IS--Advanced Machine Learning
PL--Functional Programming
","IS
PL"
Introduction to Artificial Intelligence,"Problem solving with search: uninformed, informed search, search for optimization (hill climbing, simulated annealing, genetic algorithms), adversarial search (minimax, game trees)
Logic and Planning: Propositional Logic, syntactic and model-based inference, first order logic (FOL), FOL inference complexity, unification and resolution, planning as FOL inference, STRIPS encoding, state space and plan space planning, partial order planning.
Probability and Machine Learning: Axioms of probability, basic statistics (expectation and variance), inference by enumeration, Bayesian networks, inference through variable elimination and Monte Carlo, intro to supervised machine learning, probabilistic classification with naive Bayes, parameter estimation with maximum likelihood, Perceptrons, parameter estimation with gradient descent, evaluating algorithms with cross validation, confusion matrices and hypothesis testing.
Decision making under uncertainty: Intro to sequential decision making, Markov decision processes, Bellman equation/optimality, value and policy iteration, model-based and model free reinforcement learning, temporal difference methods, Q learning, Function approximation.
I also have one lecture on natural language processing with a very brief introduction to language models, information retrieval and question answering (Watson), but students are not evaluated on this material.","IS--Fundamental Issues
IS--Basic Search Strategies
IS--Basic Knowledge Representation and Reasoning
IS--Basic Machine Learning
IS--Advanced Search
IS--Advanced Representation and Reasoning
IS--Reasoning Under Uncertainty
IS--Agents
IS--Natural Language Processing
IS--Advanced Machine Learning
",IS
CS188,"This course will introduce the basic ideas and techniques underlying the design of intelligent computer systems. A specific emphasis will be on the statistical and decision-theoretic modeling paradigm. By the end of this course, you will have built autonomous agents that efficiently make decisions in fully informed, partially observable and adversarial settings. Your agents will draw inferences in uncertain environments and optimize actions for arbitrary reward structures. Your machine learning algorithms will classify handwritten digits and photographs. The techniques you learn in this course apply to a wide variety of artificial intelligence problems and will serve as the foundation for further study in any application area you choose to pursue.
Introduction to AI Search
Constraint Satisfaction Game Playing
Markov Decision Processes Reinforcement Learning Bayes Nets
Hidden Markov Modeling Speech
Neural Nets Robotics Computer Vision","IS--Fundamental Issues
IS--Basic Search Strategies
IS--Basic Knowledge Representation and Reasoning
IS--Basic Machine Learning
IS--Advanced Search
",IS
Introduction to Artificial Intelligence,"What is AI? Foundations of AI, History of AI. Intelligent Agents
Agents and Environments, Structure of Agents. Problem Solving by Searching
Problem Solving Agents, Searching for Solutions, Uninformed Search Strategies:
Breadth-First Search, Depth-First Search, Depth-limited Search, Iterative Deepening Depth-first Search, Comparison of Uninformed Search Strategies.
Informed Search and Exploration
Informed (Heuristic) Search Strategies: Greedy Best-first Search, A* Search, Heuristic Functions, Local Search Algorithms, Optimization Problems.
Constraint Satisfaction Problems
Backtracking Search for CSPs, Local Search for CSPs. Adversarial Search
Games, Minimax Algorithm, Alpha-Beta Pruning. Reasoning and Knowledge Representation
Introduction to Reasoning and Knowledge Representation, Propositional Logic, First Order Logic, Semantic Nets, Other Knowledge Representation Schemes.
Reasoning with Uncertainty & Probabilistic Reasoning
Acting Under Uncertainty, Bayes’ Rule, Representing Knowledge in an Uncertain Domain, Bayesian Networks.
Machine Learning
Forms of Learning, Decision Trees and the ID3 Algorithm, Nearest Neighbor, Statistical Learning.","IS--Fundamental Issues
IS--Basic Search Strategies
IS--Advanced Search
IS--Basic Knowledge Representation and Reasoning
IS--Advanced Knowledge Representation and Reasoning
IS--Reasoning Under Uncertainty
IS--Basic Machine Learning
",IS
