course_id,course_text,KA_label
CS103,"Sets
Functions and Relations
Proof techniques (including direct, contradiction, diagonalization and induction) Graphs
Logic (proposition and predicate) Finite Automata (DFAs, NFAs, PDAs) Regular and Context-Free Languages Turing Machines
Complexity Classes (P, NP, Exp) NP-Completeness
Counting
Combinations and Permutations
Probability (including conditional probability, independence, and conditional independence) Expectation and Variance
Covariance and Correlation
Discrete distributions (including Binomial, Negative Binomial, Poisson, and Hypergeometric) Continuous distributions (including Uniform, Normal, Exponential, and Beta) Limit/Concentration results (including Central Limit Theorem, Markov/Chebyshev bounds) Parameter estimation (including maximum likelihood and Bayesian estimation)
Classification (including Naive Bayes Classifier and Logistic Regression) Simulation
","DS
AL
IS"
CS 250,"Introduction to the Peano Axioms and construction of the natural numbers, integer numbers, rational numbers, and real numbers.
Construction and basic properties of monoids, groups, rings, fields, and vector spaces.  Introduction to transfinite ordinals and transfinite cardinals, and Cantor’s diagonalization methods Representation of large finite natural numbers using Knuth’s “arrow notation”
Introduction to first order propositional logic, logical equivalence, valid and invalid arguments Introduction to digital circuits
Introduction to first order monadic predicate logic, universal and existential quantification, and predicate arguments
Elementary number theory, prime factors, Euclid’s algorithm Finite arithmetic, Galois Fields, and RSA encryption
Proof techniques, including direct and indirect proofs, proving universal statements, proving existential statements, proof forms, common errors in proofs
Sequences, definite and indefinite series, recursive sequences and series Developing and validating closed-form solutions for series
Well ordering and mathematical induction Introduction to proving algorithm correctness
Second order linear homogeneous recurrence relations with constant coefficients General recursive definitions and structural induction
Introduction to classical (Cantor) set theory, Russell’s Paradox, introduction to axiomatic set theory (Zermelo-Fraenkel with Axiom of Choice).
Set-theoretic proofs Boolean algebras Halting Problem
","DS
AL
IS"
CS 251,"Set-based theory of functions, Boolean functions Injection, surjection, bijection
Function composition
Function cardinality and computability General set relations
Equivalence relations Total and partial orderings
Basic counting techniques: multiplication rule, addition rule, Dirichlet’s Box Principle Combinations and permutations
Pascal’s Formula and the Binomial Theorem Kolmogorov Axioms and expected value Markov processes
Conditional probability and Bayes’ Theorem Classical graph theory: Euler and Hamilton circuits Introduction to spectral graph theory, isomorphisms Trees, weighted graphs, spanning trees
Algorithm analysis Formal languages Regular expressions Finite-state automata
","AL
DS"
CS 175,"Shader-based OpenGL programming Coordinate systems and transformations Quaternions and the Arcball interface Camera modeling and projection
OpenGL fixed functionality including rasterization Material simulation
Basic and advanced use of textures including shadow mapping Image sampling including alpha matting
Image resampling including mip-maps Human color perception
Geometric representations Physical simulation in animation Ray tracing
","GV
SDF
AR
CN
SE"
CS371,"Computer graphics and its place in computer science Surface modeling
Light modeling
The Rendering Equation Ray casting
Surface scattering (BSDFs) Spatial data structures Photon  mapping Refraction
Texture Mapping Transformations Rasterization
The graphics pipeline GPU architecture
Film production and effects Deferred shading
Collision detection Shadow maps
","GV
SDF
AR
CN
SE"
Human Aspects of Computer Science,"Experimental design and data representation
Inferential statistics Writing up experiments User-Centered Design
Developing requirements through personas and scenarios Conceptual design, interface design
Prototyping: lo-fi and paper Visual Design
Evaluation techniques: heuristics, cognitive walkthrough, experiments
Human-Computer Interaction",HCI
FIT3063,"This unit provides a detailed understanding of the underpinning theories, principles and practices of interface design for computer-based systems. It examines issues in the design of system interfaces from a number of perspectives: user, programmer, designer. It explores the application of the relevant theories in practice. The unit will cover topics such as methods and tools for developing effective user interfaces, evaluation methods such as the conduct of usability and heuristic evaluations, design of appropriate interface elements including the design of menus and other interaction styles. The unit also focuses on designing for a diverse range of users and environments.
Background and motivation for HCI Human factors
Theoretical foundations: theories, models, principles, standards, guidelines Interface design elements
Interface design: methods and principles Interface design: data gathering and task analysis Interaction styles
Usability Accessibility Interaction devices Future of HCI
",HCI
CO328,"This module provides an introduction to human-computer interaction. Fundamental aspects of human physiology  and psychology are introduced and key features of interaction and common interaction styles delineated. A variety   of analysis and design methods are introduced (e.g., GOMS, heuristic evaluation, user-centred and contextual design techniques). Throughout the course, the quality of design and the need for a professional, integrated and user- centered approach to interface development is emphasized. Rapid and low-fidelity prototyping feature as one aspect of this.
Evaluating interfaces: heuristic evaluation, GOMS Evaluation Data & Empirical Data
Lo-fi Prototyping
Color, Vision & Perception
Some Features of Human Memory Errors
Controls, widgets, icons & symbols Elements of visual design Documentation
",HCI
Human Computer Interaction,"The goal is to present HCI as a discipline that is concerned with technical advance, and that must integrate different disciplinary perspectives. Fundamental theoretical issues deal with principles of human perception, visual representation and purposeful action, discussed in the context of novel interactive technologies. Building on a first year course in professional software design, the course ends with an overview of systematic approaches to the design and analysis of user interfaces.
propose design approaches that are suitable to different classes of user and application; identify appropriate techniques for analysis and critique of user interfaces;
be able to design and undertake quantitative and qualitative studies in order to improve the design of interactive systems;
understand the history and purpose of the features of contemporary user interfaces.
The scope and challenges of HCI and Interaction Design. Visual representation
Text and gesture interaction Inference-based approaches
Augmented reality and tangible user interfaces Usability of programming languages
User-centered design research Usability evaluation methods
",HCI
Human-Computer Interaction,"Short-form description: Helping you build human-centered design skills, so that you have the principles and methods to create excellent interfaces with any technology.
Long-form description: In this course, you will learn how to design technologies that bring people joy, rather than frustration. You'll learn several techniques for rapidly prototyping and evaluating multiple interface alternatives -- and why rapid prototyping and comparative evaluation are essential to excellent interaction design. You'll learn how to conduct fieldwork with people to help you get design ideas. How to make paper prototypes and low-fidelity mockups that are interactive -- and how to use these designs to get feedback from other stakeholders like your teammates, clients, and users. You'll learn principles of visual design so that you can effectively organize and  present information with your interfaces. You'll learn principles of perception and cognition that inform effective interaction design. And you'll learn how to perform and analyze controlled experiments online. In many cases, we'll use Web design as the anchoring domain. A lot of the examples will come from the Web, and we'll talk just a bit about Web technologies in particular. When we do so, it will be to support the main goal of this course, which is helping you build human-centered design skills, so that you have the principles and methods to create excellent interfaces with any technology.
",HCI
Human Information Processing (HIP),"Senses: Short term sensory memory – receptors – stimuli; Perception;
Attention;
Memory: Long-term memory – working memory; Mental models;
Intention: Decision making and response selection;
Action: Response execution (motion or behavior) – responses","CN
GV
HCI"
Software and Interface Design,"This course introduces principles and methods for the design of software systems in professional contexts. The whole of the software development lifecycle is considered, but with special emphasis on user-centered design, including approaches to capture and analysis of user requirements, iterative prototyping and testing of interactive systems.
The goal is to present HCI as a discipline that is concerned with technical advance, and that must integrate different disciplinary perspectives. Fundamental theoretical issues deal with principles of human perception, visual representation and purposeful action, discussed in the context of novel interactive technologies. Building on a first year course in professional software design, the course ends with an overview of systematic approaches to the design and analysis of user interfaces.
undertake system design in a methodical manner
proceed from a general system or product requirement to a design that addresses user needs develop design models and prototypes in an iterative manner recognizing managerial risks evaluate interactive systems, including identification and correction of faults.
Mental models, leading to gulfs of execution and evaluation. Observing and describing the needs of users in context Methods for iterative modelling and prototyping
Observational and experimental methods for usability evaluation
",HCI
CS-475,"This course covers the fundamental concepts and practical applications of computing systems security with a holistic view and an applied approach. Topics include: security concepts and services, physical, operational, and organizational security, the role of people in systems security, introduction to cryptography and public key infrastructure, computing systems hardening, secure code, and secure applications development.
The course emphasis is on developing, deploying, and maintaining a secure computing infrastructure with a hands- on approach.","AR
HCI
IAS
NC
OS
PL
SP"
CS430,"Introduction to DBMS concepts 
Data modeling and database design 
Relational database design
Query languages 
Storage and indexing 
Query processing 
Transaction processing 
Recovery","IM
IAS"
CSE 262,"Formulate and defend a position on an ethical question related to technology.
Describe the main ethical challenges currently posed by technology.
Describe the results of group discussion on ethical issues as a consensus position or mutually acceptable differences of opinion.
Analyze a proposed course of action in the context of various cultures, communities, and countries.
Demonstrate effective oral and written communication methods to explain a position on the social responsibilities of software developers and IT workers.
Moral theories and reasoning. Includes applying utilitarianism, deontological ethics, and virtue ethics. Discussion of relativism and religious ethics. 
Professional ethics. Includes definitions of “profession,” codes of ethics, and ACM-IEEE Software Engineering Code of Ethics and Professional Practice. 
Privacy. Definitions of privacy, the role of computing in contemporary privacy dilemmas. 
Intellectual and intangible property. Definitions of copyright, trademark, and patent, especially as they apply to computer applications and products. Fair use and other limitations to the rights of creators. Intangible property that is not “creative” in nature. 
Trust, safety, and reliability. Causes of computer failure, case studies (including Therac-25). 
Review and exams. 
Public presentations of independent research projects.
Effects of computing on society and personal identity. Social network analysis, Marshall McLuhan, bullying and trolling, crowd-sourced knowledge, cybernetics. 
Democracy, freedom of speech, and computing. The First Amendment, protection of children, state censorship, corporate censorship, case studies.
Computing and vulnerable groups. Case studies of effects of computing on prisoners, the elderly, the young, racial and ethnic minorities, religious minorities, people with disabilities, people with chronic diseases, developing countries, and so on. 
Autonomous and pervasive technologies. Cases related to data surveillance, moral responsibility for autonomous systems, robots, and systems that function with little human oversight.","SP
HCI
GV"
CS 662,"An overview of AI, including search, knowledge representation, probabilistic reasoning and decision making under uncertainty, machine learning, and topics from NLP, information retrieval, knowledge engineering and multi-agent systems.",IS
Intelligenza Artificiale (Artificial Intelligence),"INTRODUCTION TO AI. Historical outline of the discipline. Fundamental concepts. Main research areas and application fields.
PROBLEM SOLVING AND SEARCH. State spaces and search methods. Non-informed and informed search strategies. Constraint satisfaction problems. Games and adversarial search.
LOGIC AND REASONING. The use of propositional and first order logic for the representation of knowledge. Knowledge-based reasoning as logical deduction. Inference procedures (forward chaining, backward chaining, resolution).
PLANNING. Plan formation and execution. The STRIPS model. Search in plan spaces. FOUNDATIONS OF AI. Some critical concepts and philosophical problems of AI.",IS
CMSC 471,"Course description: “This course will serve as an introduction to artificial intelligence concepts and techniques. We will use the Lisp programming language as a computational vehicle for exploring the techniques and their application. Specific topics we will cover include the history and philosophy of AI, Lisp and functional programming, the agent paradigm in AI systems, search, game playing, knowledge representation and reasoning, logical reasoning, uncertain reasoning and Bayes nets, planning, and machine learning. If time permits, we may also briefly touch on multi-agent systems, robotics, perception, and/or natural language processing.”","IS
PL"
Introduction to Artificial Intelligence,"Problem solving with search: uninformed, informed search, search for optimization (hill climbing, simulated annealing, genetic algorithms), adversarial search (minimax, game trees)
Logic and Planning: Propositional Logic, syntactic and model-based inference, first order logic (FOL), FOL inference complexity, unification and resolution, planning as FOL inference, STRIPS encoding, state space and plan space planning, partial order planning.
Probability and Machine Learning: Axioms of probability, basic statistics (expectation and variance), inference by enumeration, Bayesian networks, inference through variable elimination and Monte Carlo, intro to supervised machine learning, probabilistic classification with naive Bayes, parameter estimation with maximum likelihood, Perceptrons, parameter estimation with gradient descent, evaluating algorithms with cross validation, confusion matrices and hypothesis testing.
Decision making under uncertainty: Intro to sequential decision making, Markov decision processes, Bellman equation/optimality, value and policy iteration, model-based and model free reinforcement learning, temporal difference methods, Q learning, Function approximation.
I also have one lecture on natural language processing with a very brief introduction to language models, information retrieval and question answering (Watson), but students are not evaluated on this material.",IS
CS188,"This course will introduce the basic ideas and techniques underlying the design of intelligent computer systems. A specific emphasis will be on the statistical and decision-theoretic modeling paradigm. By the end of this course, you will have built autonomous agents that efficiently make decisions in fully informed, partially observable and adversarial settings. Your agents will draw inferences in uncertain environments and optimize actions for arbitrary reward structures. Your machine learning algorithms will classify handwritten digits and photographs. The techniques you learn in this course apply to a wide variety of artificial intelligence problems and will serve as the foundation for further study in any application area you choose to pursue.
Introduction to AI Search
Constraint Satisfaction Game Playing
Markov Decision Processes Reinforcement Learning Bayes Nets
Hidden Markov Modeling Speech
Neural Nets Robotics Computer Vision",IS
Introduction to Artificial Intelligence,"What is AI? Foundations of AI, History of AI. Intelligent Agents
Agents and Environments, Structure of Agents. Problem Solving by Searching
Problem Solving Agents, Searching for Solutions, Uninformed Search Strategies:
Breadth-First Search, Depth-First Search, Depth-limited Search, Iterative Deepening Depth-first Search, Comparison of Uninformed Search Strategies.
Informed Search and Exploration
Informed (Heuristic) Search Strategies: Greedy Best-first Search, A* Search, Heuristic Functions, Local Search Algorithms, Optimization Problems.
Constraint Satisfaction Problems
Backtracking Search for CSPs, Local Search for CSPs. Adversarial Search
Games, Minimax Algorithm, Alpha-Beta Pruning. Reasoning and Knowledge Representation
Introduction to Reasoning and Knowledge Representation, Propositional Logic, First Order Logic, Semantic Nets, Other Knowledge Representation Schemes.
Reasoning with Uncertainty & Probabilistic Reasoning
Acting Under Uncertainty, Bayes’ Rule, Representing Knowledge in an Uncertain Domain, Bayesian Networks.
Machine Learning
Forms of Learning, Decision Trees and the ID3 Algorithm, Nearest Neighbor, Statistical Learning.",IS
Computer Networks I,"The course covers various aspects of computer networking, including (1) application layer protocols such as HTTP and SMTP, (2) transport layer (TCP/UDP) and congestion control, (3) routing and IP, and (4) link layer access protocols including Ethernet and 802.11.
Typical schedule:
Week 1: Network architecture, layering, and protocols.
Week 2: Principles of application-layer, application-layer protocols: FTP, SMTP, DNS. Week 3: HTTP, Web Caching and content delivery networks. Peer-to-peer applications. Week 4: Socket programming, introduction to transport layer protocols.
Week 5: Principles of reliable transfer, TCP reliable transfer implementation.
Week 6: TCP reliable transfer cont’d, RTT and timer, flow control, TCP connection management, state transition. Principles of congestion control.
Week 7: TCP congestion control. TCP performance: response time. TCP throughput Week 8: Introduction to network layer. Inside a router.
Week 9: IPv4 and IP Addressing. IPv6 and ICMP. Routing algorithms. Week 10: Internet routing architecture and protocols. Multicast routing. Week 11: Introduction to link layer. Multiple access protocols.
Week 12: Aloha protocol, CSMA. Efficiency of CSMA/CD. Ethernet. Week 13: LAN addressing and ARP. ATM networks.
Week 14: Wireless and mobile networks.",NC
CS144,"CS144 is an introductory course on computer networking, specifiically the Internet. The course how the Internet works, ranging from how bits are modulated on wireless networks to application-level protocols like BitTorrent and HTTP. It also explains the principles of network design, such as layering, packet switching, and the end-to-end argument. Students implement a handful of low-level protocols and services, including reliable transport, IP forwarding, and a Network Address Translation device. Students gain experience reading and understanding  RFCs (Internet Protocol specifications) as statements oof what a system should do. The course grounds many of the concepts in current practice and recent developments, such as net neutrality and DNS security.","NC
AR
SF"
Computer Networks,The description found in the course catalog says: This course explores the principles underlying the design of computer networks. We will examine techniques for transmitting information efficiently and reliably over a variety of communication media. We will look at the addressing and routing problems that must be solved to ensure that transmitted data gets to the desired destination. We will come to understand the impact that the distributed nature of all network problems has on their difficulty. We will examine the ways in which these issues are addressed by current networking protocols such as TCP/IP and Ethernet. Students will meet weekly with the instructor in pairs to present solutions to problem sets and reports evaluating the technical merit of current solutions to various networking problems.,"AR
CN
DS
IAS
NC
OS
SF"
CSCI 432,"This course explores the design and implementation of computer operating systems. Topics include historical   aspects of operating systems development, systems programming, process scheduling, synchronization of concurrent processes, virtual machines, memory management and virtual memory, I/O and file systems, system security, OS/architecture interaction, and distributed operating systems. The concepts in this course are not limited to any particular operating system or hardware platform. We discuss examples that are drawn from historically significant and modern operating systems including Unix, Windows, Mach, and the various generations of Mac OS.
The objective of this course is threefold: to demystify the interactions between the software written in other courses and hardware, to familiarize students with the issues involved in the design and implementation of modern operating systems, and to explain the more general systems principles that are used in the design of all computer systems.","PD
SF
OS
NC"
CS 420,"The course will study the basic concepts, design and implementation of operating systems. Topics to be covered include an overview of basic computing hardware components, operating system structures, process management, memory management, file systems, input/output systems, protection and security. The Windows and UNIX/Linux operating systems will be reviewed as implementation examples.
Overview of an Operating System
Computing Hardware Overview
Process Management
CPU Scheduling
Deadlocks and Synchronization
Memory Management
File systems and storage
Distributed Systems","OS
SF
PD"
CPSC 3380,"An operating system (OS) defines an abstraction of hardware and manages resource sharing among the computer’s users. The OS shares the computational resources such as memory, processors, networks, etc. while preventing individual programs from interfering with one another. After successful completion of the course, students will learn how the programming languages, architectures, and OS interact.
After a brief history and evolution of OS, the course will cover the major components of OS. Topics will include process, thread, scheduling, concurrency (exclusion and synchronization), deadlock (prevention, avoidance, and detection), memory management, IO management, file management, virtualization, and OS’ role for realizing distributed systems. The course will also cover protection and security with respect to OS.","OS
SF
PD"
582219,"Understand OS services to applications, concurrency problems and solution methods for them, OS basic structure, principles and methods of OS implementation.
OS history, process, threads, multicore, concurrency problems and their solutions, deadlocks and their prevention, memory management, virtual memory, scheduling, I/O management, disk scheduling, file management, embedded systems, distributed systems.","OS
AR
SF
PD"
RU STY1,"The operating system abstracts hardware from software through a multitude of interfaces. Operating systems strive  to share devices, memory and other computational resources between competing users and programs in a fast, robust and accurate manner. The course will explain what’s under the hood of typical operating system abstractions, with special emphasis on the treatment of memory and the CPU, including assembly. At the end of the course students will understand how the OS interacts with hardware, how higher level systems interact with the OS, and be able to program against these lower-level abstractions.
The course covers many of the fundamentals of computer architecture and operating systems: x86 assembly, virtual memory, caches, processes, signals, threads, process communication, concurrency and deadlocks, scheduling, dynamic memory management, I/O management, virtual machines and the basics of network programming, file systems, and security.","OS
AR
SF
PL
IAS
NC"
Parallel Programming Principle and Practice,"This section covers the very basics of parallel computing, and is intended for someone who is just becoming acquainted with the subject. It begins with a brief overview, including concepts and terminology associated with parallel computing. The topics of parallel memory architectures and programming models are then explored. These topics are followed by a discussion on a number of issues related to designing parallel programs.
Why Parallel Programming? Parallel Architecture
Parallel Programming Models Parallel Programming Methodology Parallel Programming: Performance
Typical Issues Solved by Parallel Programming
This section concludes with several examples of how to parallelize simple serial programs. Including: threads and shared memory programming with TBB and OpenMP, SIMD programming model and Cuda & OpenCL, programming using the Message Passing Paradigm, parallel computing with MapReduce.
Shared Memory Programming and OpenMP: A High Level Introduction Case Studies: Threads programming with TBB
Programming Using the Message Passing Paradigm Introduction to GPGPUs and CUDA Programming Model Parallel Computing with MapReduce
Parallel Programming Case Study and Assignment",PD
Introduction to Parallel Programming,"Introduction to Parallel Programming 
Overview of Parallel System Architectures
Modeling and Analysis of Parallel 
Computations Communication Complexity Analysis of Parallel Algorithms 
Parallel Programming with MPI
Parallel Programming with OpenMP 
Principles of Parallel Algorithm Design
Parallel Algorithms for Solving Time Consuming Problems (Matrix calculation, System of linear equations, Sorting, Graph algorithms, Solving PDE, Optimization)
Modeling the parallel program executing
",PD
CS453,"CS 453 teaches students how to implement compilers. Although most computer science professionals do not end up implementing a full compiler, alumni of this course are surprised by how often the skills they learn are used within industry and academic settings. The subject of compilers ties together many concepts in computer science: the theoretical concepts of regular expressions and context free grammars; the systems concept of layers including programming languages, compilers, system calls, assembly language, and architecture; the embedded systems concept of an architecture with restricted resources; and the software engineering concepts of revision control, debugging, testing, and the visitor design pattern.  Students write a compiler for a subset of Java called  MeggyJava. We compile MeggyJava to the assembly language for the ATmega328p microcontroller in the Meggy Jr RGB devices.
Regular and context free languages including DFAs and NFAs.
Scanning and parsing
Finite state machines and push down automata
FIRST and FOLLOW sets
Top-down predictive parsing
LR parse table generation Meggy Jr Simple runtime library
AVR assembly code including the stack and heap memory model Abstract syntax trees
Visitor design pattern
Semantic analysis including type checking Code generation for method calls and objects Data-flow analysis usage in register allocation Iterative compiler design and development Test-driven development and regression testing Revision control and pair programming","AL
PL
SE"
